county,totalOut,totalIn,nonmigrants,totalOutToMetro,totalInFromMetro,prePop,postPop,totalOutToOutside,totalInFromOutside,preYear,postYear
clayton county,30528,32009,186150,20671,19137,216678,218159,9857,12872,2016,2017
cobb county,71783,66403,543975,32594,28050,615758,610378,39189,38353,2016,2017
dekalb county,80098,70430,491942,49399,38902,572040,562372,30699,31528,2016,2017
douglas county,14554,15797,95664,6065,7338,110218,111461,8489,8459,2016,2017
fayette county,9725,12336,87830,2991,4460,97555,100166,6734,7876,2016,2017
forsyth county,17106,27531,175572,6649,15047,192678,203103,10457,12484,2016,2017
fulton county,104106,102803,695952,62021,53282,800058,798755,42085,49521,2016,2017
gwinnett county,73603,76911,681689,28009,31880,755292,758600,45594,45031,2016,2017
henry county,19869,24803,158399,8701,12150,178268,183202,11168,12653,2016,2017
rockdale county,9214,10083,59695,3579,4685,68909,69778,5635,5398,2016,2017
cherokee county,14012,18618,194548,5930,9787,208560,213166,8082,8831,2017,2018
clayton county,27486,28405,189566,17795,17044,217052,217971,9691,11361,2017,2018
cobb county,56471,50680,553934,24164,22715,610405,604614,32307,27965,2017,2018
dekalb county,62057,56122,502682,38884,31525,564739,558804,23173,24597,2017,2018
douglas county,11770,12845,98422,4937,6223,110192,111267,6833,6622,2017,2018
fayette county,7898,9082,91330,2688,3262,99228,100412,5210,5820,2017,2018
forsyth county,13636,19290,189570,5603,10326,203206,208860,8033,8964,2017,2018
fulton county,82374,83833,717162,49660,42815,799536,800995,32714,41018,2017,2018
gwinnett county,58178,59300,698136,22433,24920,756314,757436,35745,34380,2017,2018
henry county,16580,20135,164840,7436,10299,181420,184975,9144,9836,2017,2018
rockdale county,7797,7961,60803,3122,3736,68600,68764,4675,4225,2017,2018
cherokee county,13935,17820,200225,5631,9455,214160,218045,8304,8365,2018,2019
clayton county,26003,26051,188763,17542,16329,214766,214814,8461,9722,2018,2019
cobb county,51327,48484,556427,23808,21758,607754,604911,27519,26726,2018,2019
dekalb county,59569,54315,503584,37353,30904,563153,557899,22216,23411,2018,2019
douglas county,11289,12224,98949,4959,5973,110238,111173,6330,6251,2018,2019
fayette county,7476,8840,92559,2449,3410,100035,101399,5027,5430,2018,2019
forsyth county,12853,18657,198059,5281,9737,210912,216716,7572,8920,2018,2019
fulton county,80044,79534,733895,47650,41541,813939,813429,32394,37993,2018,2019
gwinnett county,55166,55890,705993,21858,23507,761159,761883,33308,32383,2018,2019
henry county,16499,20216,167585,7313,10454,184084,187801,9186,9762,2018,2019
rockdale county,7483,8094,60292,3198,3974,67775,68386,4285,4120,2018,2019
cherokee county,15189,20214,205360,5691,10708,220549,225574,9498,9506,2019,2020
clayton county,28074,26628,190904,18759,16935,218978,217532,9315,9693,2019,2020
cobb county,54664,50433,558188,24992,22817,612852,608621,29672,27616,2019,2020
dekalb county,64687,55304,506057,40453,31702,570744,561361,24234,23602,2019,2020
douglas county,12439,13337,101070,5036,6541,113509,114407,7403,6796,2019,2020
fayette county,8221,9834,93920,2678,3918,102141,103754,5543,5916,2019,2020
forsyth county,15478,21029,204886,6132,11465,220364,225915,9346,9564,2019,2020
fulton county,88260,83484,740585,52563,43885,828845,824069,35697,39599,2019,2020
gwinnett county,60255,59662,713538,22210,25869,773793,773200,38045,33793,2019,2020
henry county,18423,21887,171685,7753,11395,190108,193572,10670,10492,2019,2020
rockdale county,8468,8666,60723,3367,4399,69191,69389,5101,4267,2019,2020
cherokee county,15177,20232,199149,5565,10538,214326,219381,9612,9694,2020,2021
clayton county,26456,24530,185060,17559,15336,211516,209590,8897,9194,2020,2021
cobb county,52805,50863,531929,23613,22921,584734,582792,29192,27942,2020,2021
dekalb county,62504,54072,481262,39166,30609,543766,535334,23338,23463,2020,2021
douglas county,12481,13148,96324,4848,6291,108805,109472,7633,6857,2020,2021
fayette county,8100,9640,89464,2573,3866,97564,99104,5527,5774,2020,2021
forsyth county,14992,21794,200210,6016,11575,215202,222004,8976,10219,2020,2021
fulton county,87780,81827,698594,51642,41143,786374,780421,36138,40684,2020,2021
gwinnett county,58424,59246,681588,20518,25056,740012,740834,37906,34190,2020,2021
henry county,18868,21431,165892,7880,11122,184760,187323,10988,10309,2020,2021
rockdale county,8082,8672,57800,3335,4258,65882,66472,4747,4414,2020,2021
