From,To,Est,SD,Year
douglas county,clayton county,107,66.8752515102946,2013
douglas county,cobb county,2332,471.774501563533,2013
douglas county,fulton county,1001,220.080373152061,2013
douglas county,dekalb county,438,154.421035305589,2013
douglas county,gwinnett county,96,65.0513810145593,2013
douglas county,henry county,317,186.034790565001,2013
douglas county,forsyth county,67,37.6933235785297,2013
douglas county,fayette county,126,88.7616974591183,2013
douglas county,cherokee county,50,35.2614962508826,2013
douglas county,rockdale county,160,107.608359248383,2013
douglas county,outside,7219,596.116787162128,2013
forsyth county,clayton county,8,7.903438814853,2013
forsyth county,cobb county,361,107.608359248383,2013
forsyth county,fulton county,1557,354.438833004562,2013
forsyth county,dekalb county,152,60.1877263592652,2013
forsyth county,gwinnett county,752,175.699524422501,2013
forsyth county,henry county,0,18.8466617892649,2013
forsyth county,douglas county,0,18.8466617892649,2013
forsyth county,fayette county,0,18.8466617892649,2013
forsyth county,cherokee county,549,290.603365653826,2013
forsyth county,rockdale county,0,0,2013
forsyth county,outside,5405,601.540643859915,2013
fayette county,clayton county,525,231.023596126472,2013
fayette county,cobb county,533,159.892646792795,2013
fayette county,fulton county,1213,231.631552958384,2013
fayette county,dekalb county,237,124.023193710001,2013
fayette county,gwinnett county,114,68.0911651741182,2013
fayette county,henry county,251,153.205121641766,2013
fayette county,douglas county,37,30.3978415955885,2013
fayette county,forsyth county,122,63.8354673507358,2013
fayette county,cherokee county,28,17.0227912935295,2013
fayette county,rockdale county,0,18.8466617892649,2013
fayette county,outside,6933,674.870695791867,2013
cherokee county,clayton county,203,84.505999635736,2013
cherokee county,cobb county,3991,522.23491861221,2013
cherokee county,fulton county,867,196.370056707502,2013
cherokee county,dekalb county,274,141.653941835442,2013
cherokee county,gwinnett county,556,294.251106645296,2013
cherokee county,henry county,0,18.8466617892649,2013
cherokee county,douglas county,65,50.4604170486769,2013
cherokee county,forsyth county,154,93.6253521144125,2013
cherokee county,fayette county,0,18.8466617892649,2013
cherokee county,rockdale county,0,0,2013
cherokee county,outside,6893,582.841654465067,2013
rockdale county,clayton county,129,64.4434241826476,2013
rockdale county,cobb county,184,72.9548198294123,2013
rockdale county,fulton county,326,94.2333089463243,2013
rockdale county,dekalb county,1007,231.023596126472,2013
rockdale county,gwinnett county,554,186.034790565001,2013
rockdale county,henry county,83,46.2047192252945,2013
rockdale county,douglas county,49,35.8694530827944,2013
rockdale county,forsyth county,0,0,2013
rockdale county,fayette county,25,23.710316444559,2013
rockdale county,cherokee county,0,0,2013
rockdale county,outside,5336,605.182168814869,2013
outside,clayton county,12050,887.427488366677,2013
outside,cobb county,39049,1621.67353949129,2013
outside,fulton county,49480,1598.28070123764,2013
outside,dekalb county,32777,1405.82955044204,2013
outside,gwinnett county,34190,1573.62565050931,2013
outside,henry county,8064,769.84884911431,2013
outside,douglas county,7075,832.178986451872,2013
outside,forsyth county,6995,624.184278626422,2013
outside,fayette county,5453,574.914081560421,2013
outside,cherokee county,8485,771.87368739425,2013
outside,rockdale county,6612,693.227026340877,2013
clayton county,cobb county,1667,364.774099147062,2014
clayton county,fulton county,5585,668.144558271035,2014
clayton county,dekalb county,1410,268.10896287309,2014
clayton county,gwinnett county,272,142.869855499266,2014
clayton county,henry county,3408,714.349277496329,2014
clayton county,douglas county,419,163.540387784266,2014
clayton county,forsyth county,65,34.6535394189709,2014
clayton county,fayette county,892,192.722315716031,2014
clayton county,cherokee county,1,1.21591366382354,2014
clayton county,rockdale county,257,151.381251146031,2014
clayton county,outside,8692,646.902636952516,2014
cobb county,clayton county,1123,395.17194074265,2014
cobb county,fulton county,8046,559.92824219074,2014
cobb county,dekalb county,3905,459.615364925298,2014
cobb county,gwinnett county,1995,298.506804468679,2014
cobb county,henry county,600,179.955222245884,2014
cobb county,douglas county,1838,449.888055614709,2014
cobb county,forsyth county,414,155.028992137501,2014
cobb county,fayette county,128,86.3298701314713,2014
cobb county,cherokee county,3200,440.768703136033,2014
cobb county,rockdale county,29,23.710316444559,2014
cobb county,outside,30145,1283.81598003331,2014
fulton county,clayton county,7442,775.752917519418,2014
fulton county,cobb county,10540,769.6733492003,2014
fulton county,dekalb county,16155,854.787305667948,2014
fulton county,gwinnett county,4604,548.985019216328,2014
fulton county,henry county,1168,304.586372787797,2014
fulton county,douglas county,1346,263.853265049708,2014
fulton county,forsyth county,2129,334.376257551473,2014
fulton county,fayette county,768,181.171135909707,2014
fulton county,cherokee county,1524,316.13755259412,2014
fulton county,rockdale county,274,138.006200843972,2014
fulton county,outside,49966,1492.40710131497,2014
dekalb county,clayton county,2784,462.047192252945,2014
dekalb county,cobb county,4465,528.314486931328,2014
dekalb county,fulton county,13961,947.196744118537,2014
dekalb county,gwinnett county,8071,925.310298169713,2014
dekalb county,henry county,676,200.017797698972,2014
dekalb county,douglas county,418,102.744704593089,2014
dekalb county,forsyth county,480,139.830071339707,2014
dekalb county,fayette county,341,125.239107373825,2014
dekalb county,cherokee county,52,24.3182732764708,2014
dekalb county,rockdale county,1355,266.893049209267,2014
dekalb county,outside,24956,1087.99595218171,2014
gwinnett county,clayton county,453,143.477812331178,2014
gwinnett county,cobb county,1877,294.251106645296,2014
gwinnett county,fulton county,5330,524.058789107945,2014
gwinnett county,dekalb county,5470,567.223724173681,2014
gwinnett county,henry county,574,189.07457472456,2014
gwinnett county,douglas county,165,128.278891533383,2014
gwinnett county,forsyth county,1199,270.540790200737,2014
gwinnett county,fayette county,52,29.1819279317649,2014
gwinnett county,cherokee county,182,74.1707334932359,2014
gwinnett county,rockdale county,378,131.926632524854,2014
gwinnett county,outside,32662,1483.1871669326,2014
henry county,clayton county,2431,486.365465529416,2014
henry county,cobb county,761,309.450027443091,2014
henry county,fulton county,1282,308.234113779267,2014
henry county,dekalb county,675,184.818876901178,2014
henry county,gwinnett county,534,172.659740262943,2014
henry county,douglas county,227,124.023193710001,2014
henry county,forsyth county,0,0,2014
henry county,fayette county,436,155.636948969413,2014
henry county,cherokee county,110,82.0741723080889,2014
henry county,rockdale county,28,19.4546186211766,2014
henry county,outside,7126,623.707414701912,2014
douglas county,clayton county,102,50.4604170486769,2014
douglas county,cobb county,1762,291.211322485738,2014
douglas county,fulton county,837,164.148344616178,2014
douglas county,dekalb county,310,100.920834097354,2014
douglas county,gwinnett county,63,52.2842875444122,2014
douglas county,henry county,372,208.529193345737,2014
douglas county,forsyth county,66,37.6933235785297,2014
douglas county,fayette county,129,93.0173952825007,2014
douglas county,cherokee county,62,44.9888055614709,2014
